,Name,Buy,Price,Sell,Last Rd %,L5 %,L10 %,Valuation
305,Stephen_Coniglio,7.24,6.57,5.9,-16.62,10.79,-20.75,Underpriced
306,Phil_Davis,4.47,3.65,2.83,-3.18,-2.67,29.89,Fair Value
307,Adam_Kennedy,4.81,4.01,3.21,27.3,-16.8,-24.77,Fair Value
308,Zach_Sproule,5.43,4.66,3.89,-4.51,-22.33,-22.33,Inconclusive
309,Tanner_Bruhn,3.33,2.45,1.57,-16.1,-59.17,-59.17,Inconclusive
310,Jesse_Hogan,9.57,9.02,8.47,32.06,123.27,45.48,Very Overpriced
311,Kieren_Briggs,6.48,5.77,5.06,9.9,-3.83,-3.83,Inconclusive
312,Conor_Stone,4.55,3.74,2.93,-17.8,-37.67,-37.67,Inconclusive
313,Nick_Shipley,3.68,2.82,1.96,-8.44,-53.0,-53.0,Inconclusive
314,Jake_Stein,4.21,3.38,2.55,-7.65,-39.21,-43.67,Inconclusive
